close,high,low,open,volume,baseVolume,conversionType,conversionSymbol,datetime
9162.38,9165.13,9140.82,9147.75,1754.11,16065530.73,force_direct,,2020-07-20 12:00:00
9148.4,9163.64,9142.02,9162.38,1760.64,16119912.49,force_direct,,2020-07-20 13:00:00
9169.99,9177.38,9146.16,9148.4,1642.48,15057624.96,force_direct,,2020-07-20 14:00:00
9173.75,9179.75,9165.0,9169.99,1442.41,13230674.8,force_direct,,2020-07-20 15:00:00
9175.64,9175.65,9160.15,9173.75,1392.59,12769329.87,force_direct,,2020-07-20 16:00:00
9192.06,9203.6,9175.64,9175.64,2015.33,18521666.85,force_direct,,2020-07-20 17:00:00
9180.48,9198.3,9172.76,9192.06,1588.23,14584226.31,force_direct,,2020-07-20 18:00:00
9158.65,9185.36,9146.43,9180.48,3092.78,28342862.49,force_direct,,2020-07-20 19:00:00
9172.08,9185.0,9151.44,9158.65,1612.77,14789907.95,force_direct,,2020-07-20 20:00:00
9167.48,9173.56,9141.19,9172.08,821.43,7526045.48,force_direct,,2020-07-20 21:00:00
9164.8,9175.0,9151.68,9167.48,1087.59,9968946.74,force_direct,,2020-07-20 22:00:00
9160.78,9178.17,9155.85,9164.8,1024.42,9391647.66,force_direct,,2020-07-20 23:00:00
9170.24,9174.66,9152.8,9160.78,1163.82,10669889.82,force_direct,,2020-07-21 00:00:00
9178.56,9195.41,9169.89,9170.24,1324.68,12163984.04,force_direct,,2020-07-21 01:00:00
9178.56,9185.98,9169.86,9178.56,828.28,7602627.54,force_direct,,2020-07-21 02:00:00
9180.83,9181.61,9164.36,9178.56,1093.89,10034318.8,force_direct,,2020-07-21 03:00:00
9175.06,9184.22,9173.34,9180.83,877.7,8056729.44,force_direct,,2020-07-21 04:00:00
9189.53,9207.0,9174.64,9175.06,1440.28,13236521.57,force_direct,,2020-07-21 05:00:00
9197.0,9202.3,9176.71,9189.53,1434.36,13181357.3,force_direct,,2020-07-21 06:00:00
9315.29,9353.0,9193.42,9197.0,9540.59,88584270.01,force_direct,,2020-07-21 07:00:00
9310.76,9335.86,9302.55,9315.29,4042.64,37670758.71,force_direct,,2020-07-21 08:00:00
9315.29,9341.98,9310.5,9310.76,3035.54,28305249.07,force_direct,,2020-07-21 09:00:00
9347.6,9350.0,9313.03,9315.29,2639.76,24638054.79,force_direct,,2020-07-21 10:00:00
9344.63,9350.0,9327.08,9347.6,2059.82,19234559.75,force_direct,,2020-07-21 11:00:00
9367.57,9395.91,9344.58,9344.63,6021.21,56439082.94,force_direct,,2020-07-21 12:00:00
9408.98,9437.73,9365.1,9367.57,5942.03,55880560.56,force_direct,,2020-07-21 13:00:00
9377.04,9420.0,9353.93,9408.98,3551.94,33341897.52,force_direct,,2020-07-21 14:00:00
